text;created;language;id
A IMAGEM DO CRUZEIRO RESPLANDECE <U+0001F535><U+26AA><U+FE0F><U+0001F98A> TUPxCRU NasBatalhasComOCruzeiro;16/03/2019 18:54;pt;1
"BOLA EM JOGO EM JUIZ DE FORA

COMEÇA TUPI X CRUZEIRO PELO CAMPEONATO MINEIRO

VVVVVAAAAAMMMMMOOOOOSS…";16/03/2019 18:59;pt;2
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>Jadson
<U+2B07><U+FE0F>Rodriguinho 

Se liga na informação sobre Cruzeiro x…";16/03/2019 20:46;pt;3
Galera saiu a primeira precificação do Cartola FCKannemanncartoletas o que acharam comenta ai …;17/03/2019 16:07;pt;4
Hoje tem desfile na quadra do CO àshrspra rainha do Cruzeiro aparece lá galera eu vou desfilar;17/03/2019 16:05;pt;5
"Esse cara jamais deixou menos quede sua entrega em campo ou fora dele
Feliz aniversário ADILSON

Felicidades s…";17/03/2019 15:59;pt;6
O Cruzeiro jogou bem mas também não foi forçado por parte do Tupi…;17/03/2019 15:53;pt;7
Aagradece a todos os departamentos do Cruzeiro que nos proporcionaram momentos únicos toda vez que vem na cidade…;17/03/2019 15:51;pt;8
No AquiComBenja desse final de semana ThiagoNeves do cruzeiro fala sobre desarrascaeta no flamengo e olha que está…;17/03/2019 15:18;pt;9
"<U+0001F913>

Valewww cabuloso Mais uma Vitória pra conta

NasBatalhasComOCruzeiro Cruzeiro MeuMantoÉSagrado FechadaComOCruz…";17/03/2019 15:16;pt;10
"Reduto FanatiZeiros já adquirimos
Adquira o seu e tornase um colaborador financeiro do cruzeiro …";17/03/2019 14:42;pt;11
"Na dúvida comprei as duas 
Não dá pra saber qual a mais linda
 
Cruzeiro 
CruzeiroCabuloso
C…";17/03/2019 14:10;pt;12
Recémchegado aoo lateral esquerdo Ryan tem se destacado nos treinos e jogos preparatórios pra Copa do Brasil…;17/03/2019 13:50;pt;13
Trio Cruzeirao Cabuloso cruzeiro labestianegra cruzeirocabuloso fechadocomocruzeiro em Parque Ibirapuera Conser…;17/03/2019 13:40;pt;14
Quando tá valendo o Cruzeiro ganha hahaha;17/03/2019 13:29;pt;15
O rebaixado Tupi joga muito mal entrega dois gols para o Cruzeiro e denovo um gol solitário salva o time de azul…;17/03/2019 13:11;pt;16
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>Jadson
<U+2B07><U+FE0F>Rodriguinho 

Se liga na informação sobre Cruzeiro x Dep Lara…";17/03/2019 13:06;pt;17
Thiago Neves confirma contatos de Grêmio e Corinthians e diz que Arrascaeta brecou sua saída do Cruzeiro;17/03/2019 12:03;pt;18
"GOLAÇO de FALTA BoaCruzeiro 
Melhores Momentos<U+26BD> com Bom Humor FM<U+0001F602><U+0001F602><U+0001F602>
Assista no Canal Caveira Azul d…";17/03/2019 11:47;pt;19
"E VC ESTÁ ILUDIDO TB 











cruzeirodadepre Cruzeiro CruzeiroEsporteClube MaiordeMinas…";17/03/2019 11:37;pt;20
<U+0001F535>Atenção torcida Celeste meu pós de Cruzeiro x Tupi CRUZEIRO NasBatalhasComOCruzeiro;17/03/2019 11:31;pt;21
No AquiComBenja desse final de semana ThiagoNeves do cruzeiro fala sobre desarrascaeta no flamengo e olha que…;17/03/2019 11:17;pt;22
"Quando o Cabuloso ganha nois fica como
Haha só o Mano <U+0001F499>
Aaaaah ser Cruzeiro é bom demais <U+0001F3B5><U+0001F499><U+0001F43A>
Bom diaaaa naç…";17/03/2019 10:55;pt;23
E REPETIMOS MAIS UMA VEZ NUNCA DUVIDEM DO CRUZEIRO O CRUZEIRO CHEGA O CRUZEIRO CONQUISTA;17/03/2019 05:54;pt;24
"Esse grande projeto da conta Digi com o time Cruzeiro promete hein

Confira a reportagem exclusiva do …";17/03/2019 05:04;pt;25
Assistir aos jogos dojá é bom Assistir aos jogos do Cruzeiro ao lado de grandes cruzeirenses como o…;17/03/2019 03:43;pt;26
Acompanhe conosco a PRECIFICAÇÃO do Cartola FCPróxima segundaQuem arisca o valor de Ricardo Goulart…;17/03/2019 03:37;pt;27
Assistir aos jogos dojá é bom Assistir aos jogos do Cruzeiro ao lado de grandes cruzeirenses é melhor…;17/03/2019 03:34;pt;28
Aagradece a todos os departamentos do Cruzeiro que nos proporcionaram momentos únicos toda vez que vem…;17/03/2019 03:03;pt;29
Hoje h tem mais um AquiComBenja daqueles que vai dar o que falar ThiagoNeves do Cruzeiro falando tudo e um pouco…;17/03/2019 02:53;pt;30
"KoéGidão <U+0001F60E> 
Haha maispontos pra nós
Boaaaa Cruzeiro <U+0001F499><U+0001F43A>
NasBatalhasComOCruzeiro 
CruzeiroCabuloso 
Cruzeiro 
VamosL…";17/03/2019 02:47;pt;31
"<U+0001F504>Substituição no Cruzeiro

<U+2B06><U+FE0F>David
<U+2B07><U+FE0F>Robinho 

Se liga na informação sobre Cruzeiro x Dep Lara

CON…";17/03/2019 01:48;pt;32
"BOLA EM JOGO EM JUIZ DE FORA

COMEÇA TUPI X CRUZEIRO PELO CAMPEONATO MINEIRO

VVVVVAAAAAMMMMMOOOOOSSSSS…";17/03/2019 01:39;pt;33
"Agora nacom Tupi x Cruzeiro Vale a vida pro Tupi mas o Cruzeiro vai com time titular
Promete
…";17/03/2019 01:21;pt;34
Não sou cruzeirense e que me desculpe o Tupi mas jantei hoje com o time dolá na potenciadosuljfDa hor…;17/03/2019 00:12;pt;35
VoleiNoSporTV o CRUZEIRO está escolhendo adversario pra fase final Ta jogando muito mal hoje Desrespeito com a torcida isso é FEIO<U+0001F623>;16/03/2019 23:57;pt;36
VoleiNoSporTV o CRUZEIRO ainda vai virar;16/03/2019 23:52;pt;37
Final de jogo TUPXCRU em um treino de luxo pro Cruzeiro e quem foi o melhor em campo;16/03/2019 23:33;pt;38
VoleiNoSporTVtem uma explicação porque o CRUZEIROnestes ultimos jogos está pior noset e ate perdendo noset;16/03/2019 22:50;pt;39
Com cinco gols no Mineiro Fred agora iguala Ricardo Oliveira e Alerrandro na artilharia do Estadual Emele foi o…;16/03/2019 22:45;pt;40
"HOJE TEM CRUZEIRO <U+0001F535><U+26AA><U+0001F98A>

Cruzeiro NasBatalhasComOCruzeiro HojeTemCruzeiro Edits

<U+0001F4FD><U+FE0F> Gol de RafinhaCruzeiro x Tupi…";16/03/2019 22:45;pt;41
VoleiNoSporTV sempre bom assistir meu CRUZEIRO e com os comentarios dofica melhor ainda <U+0001F929>;16/03/2019 22:43;pt;42
Com a vitória x sobre o TUPI ManoMenezes chega às vitorías com o cruzeiro<U+0001F44A><U+0001F3FC><U+26AA><U+FE0F><U+0001F535><U+0001F98A>;16/03/2019 22:42;pt;43
"Vamos Sada Cruzeiro <U+0001F4AA><U+0001F3FB><U+0001F98A><U+0001F499><U+0001F44A><U+0001F3FB>
VamoSadaCruzeiro Superliga SadaCruzeiro Cruzeiro NasBatalhasComOCruzeiro";16/03/2019 22:28;pt;44
Recémchegado aoo lateral esquerdo Ryan tem se destacado nos treinos e jogos preparatórios pra Copa do B…;16/03/2019 22:00;pt;45
Muito semelhante Veja a comparaçãocruzeiro superfc;16/03/2019 21:50;pt;46
Um gol contra deu início a goleada do Cruzeiro que completou o placar com Fred e Egídio O time ocupa acolocação no…;16/03/2019 21:49;pt;47
"O Rei dos stories está de volta hahahahaha

Fred
ReiDosStories
Cruzeiro";16/03/2019 21:38;pt;48
"Eu assistindo o jogo do cruzeiro

O narrador falava Egídio e eusóentendia Messi <U+0001F937><U+200D><U+2642><U+FE0F><U+0001F632>

cruzeiroRaposaSegueRaposa";16/03/2019 21:24;pt;50
O novo manto da Nação Azul com a marca Digi Cruzeiro ficou lindo demais Na foto o DiretorPresidente do Banco Renne…;16/03/2019 18:54;pt;51
Grande reforço para a equipe Digi CruzeiroRaposão e Raposinho mostrando para os torcedores doque a N…;16/03/2019 18:54;pt;52
Será que tem algum cruzeirense que detesta esse Henrique Fernandes comentando jogos do Cruzeiro mais q eu dúvidoCruzeiro;16/03/2019 18:49;pt;53
"CAMPEONATO MINEIRO<U+0001F3C6><U+26BD>

Tupi x Cruzeiro
Mário Helênioh

Siga 

Tupi Cruzeiro…";16/03/2019 18:45;pt;54
TUPI Vilar Pablo Aislan Guilherme Henrique e Lucas Sampaio Max Carrasco Leandro Brasília Baiano e Gabriel T…;16/03/2019 18:39;pt;55
"Mineiro 

Cruzeiro x Tupi

SabadoDetremuraSDV";16/03/2019 18:35;pt;56
"Agora nacom Tupi x Cruzeiro Vale a vida pro Tupi mas o Cruzeiro vai com time titular
Promete…";16/03/2019 18:33;pt;57
<U+26BD><U+FE0F> Cruzeiro escalado aqui em Juiz de Fora Fábio Edílson Dedé Léo e Egídio Henrique Lucas Romero Robinho Rodrigu…;16/03/2019 18:25;pt;58
"escalado para enfrenta o Tupi em Juiz De ForaMG

Cruzeiro SabadoDetremuraSDV FOLLOWTRICK";16/03/2019 18:24;pt;59
Já no Estádio Mario Helênio para acompanhar o Cruzeiro;16/03/2019 18:22;pt;60
"Cruzeiro com força máxima contra o Tupi
NasBatalhasComOCruzeiro
TUPxCRU";16/03/2019 18:17;pt;61
"<U+26BD><U+FE0F> Cruzeiro vai forte contra o Tupi

Fábio Edílson Dedé Léo e Egídio Henrique Lucas Romero Robinho Rodriguinho Rafinha e Fred";16/03/2019 18:10;pt;62
<U+26BD><U+FE0F> Cruzeiro escalado aqui em Juiz de Fora Fábio Edílson Dedé Léo e Egídio Henrique Lucas Romero Robinho Rodriguinho Rafinha e Fred;16/03/2019 18:00;pt;63
Vestiário do Cruzeiro em Juiz de Fora Doquinha e Geraldinho da rouparia aguardando o time;16/03/2019 17:56;pt;64
"Reduto FanatiZeiros já adquirimos
Adquira o seu e tornase um colaborador financeiro do…";16/03/2019 17:15;pt;65
"Nós do Bloco Raposão de São João Del Rei já somos
Já abriu sua conta 
Além de várias vantagens você s…";16/03/2019 16:58;pt;66
Num é todo dia que seu time vem jogar perto da sua casa cruzeiro Tupi Mineiro;16/03/2019 16:58;pt;67
Cruzeiro Cabuloso o MaiorDeMinas<U+0001F98A>;16/03/2019 16:58;pt;68
Excited to share this item from my etsy shop A Gem Rubellite Tourmaline Crystal fromfind Cruzeiro mine São…;16/03/2019 16:41;pt;69
"Cara hoje ninguém me segura Vou até gastar o último cruzeiro
flashback cruzeiro dinheiro antigamente…";16/03/2019 16:38;pt;70
"Portuzeiros Reduto Celeste em Portugal já adquirimos
Adquira o seu e tornase um colaborador finance…";16/03/2019 16:20;pt;71
Hoje tem Cruzeiro pelarodada do campeonato mineiro contra o Tupi no Estádio Mário Helênio às h transmis…;16/03/2019 16:12;pt;72
"Nação Azul
Abra a sua conta e ajude nosso Cruzeiro a ser cada vez mais forte 
já abri a minha conta faça a sua também…";16/03/2019 16:06;pt;73
"Alô Nação Azul 
Confira a minha colunaNo pedacinho que a Galera gosta no caderno de esportes …";16/03/2019 15:50;pt;74
"Saiu a atualização da DÉCADA e ACUMULADABRASIL até 

Onde está seu time";16/03/2019 15:48;pt;75
Hoje o Cruzeiro visita o Tupi ás h no Estádio Municipal Radialista Mário Helênio pelarodada do Campeonato Mineir…;16/03/2019 15:48;pt;76
"<U+26BD><U+FE0F>Cruzeiro

A bola <U+26BD><U+FE0F> vai rolar às h com o jogoxE ajá marca presença aqui…";16/03/2019 15:48;pt;77
Hoje o Cruzeiro visita o Tupi ás h no Estádio Municipal Radialista Mário Helênio pelarodada do Campeonato…;16/03/2019 15:43;pt;78
"<U+26BD><U+FE0F>Cruzeiro

A bola <U+26BD><U+FE0F> vai rolar às h com o jogoxE ajá marca presença…";16/03/2019 15:37;pt;79
"NAÇÃO AZUL Já baixou o aplicativoCruzeiro 

Nós já abrimos a conta faça a sua também <U+0001F98A> 

App…";16/03/2019 14:56;pt;80
Amistoso do Cruzeiro em Cachoerinhavitória x e o entrosamento vindo Essa barca vai longe esse ano Cruzeiro…;16/03/2019 14:51;pt;81
"HOJE TEM CRUZEIRO <U+0001F535><U+26AA><U+0001F98A>

Cruzeiro NasBatalhasComOCruzeiro HojeTemCruzeiro Edits

<U+0001F4FD><U+FE0F> Gol de RafinhaCruz…";16/03/2019 14:23;pt;82
O Cruzeiro anunciou a contratação da meia Micaelly deanos Ela tem passagens pelas Seleções Brasileiras Sube…;16/03/2019 14:21;pt;83
"Bruno Silva confirma que Sassá está negociando com o Fluminense
Os dois jogadores já foram companheiros no…";16/03/2019 13:46;pt;84
"Na dúvida comprei as duas 
Não dá pra saber qual a mais linda
 
Cruzeiro 
CruzeiroCabuloso…";16/03/2019 13:37;pt;85
"Hojee tem Cruzeiro<U+0001F499><U+0001F60E>
cruzeiro <U+0001F499>
marfiaazul<U+0001F499>";16/03/2019 13:23;pt;86
"Graças a Deus hoje tem

Tem mesmo Né
cruzeiro";16/03/2019 13:21;pt;87
"Esse cara jamais deixou menos quede sua entrega em campo ou fora dele
Feliz aniversário ADILSON

Felicidade…";16/03/2019 13:17;pt;88
O Cruzeiro de Rafael vem de duas vitórias no Campeonato Mineiro e segue em busca de mais três pontos A Raposa en…;16/03/2019 13:13;pt;89
"Hoje
Paulista 
SaoPaulo x Palmeiras 

Carioca
Flamengo x VoltaRedonda 

Mineiro
Tupi x Cruzeiro 

sabadodetremu…";16/03/2019 12:09;pt;90
"Hoje
Paulista 
SaoPaulo x Palmeiras 

Carioca
Flamengo x VoltaRedonda 

Mineiro
Tupi x Cruzeiro 

sabadodetremu…";16/03/2019 12:09;pt;91
Aquele bronze que você só encontra aqui kkkkk boy cruzeiro sol sunglass life beard beard instasummer…;16/03/2019 12:09;pt;92
Hoje tem É ocabuloso em mais uma batalha do Mineiro Bora pra sede apoiar RedutosCelestes Cruzeiro…;16/03/2019 12:05;pt;93
"MSC Fantasia 
MSCFantasia RiodeJaneiro Cruzeiro Mar Sea Cruise TripsterTravel em Cruzeiro MSCFantasia";16/03/2019 11:31;pt;94
O Portal da Base Brasil foi bater um papo com Ricardo Resende treinador da equipe Sub do Cruzeiro Esporte Clube…;16/03/2019 11:20;pt;95
Pô só diaÉ isso mesmo genteAfff <U+0001F641><U+0001F937><U+200D><U+2640><U+FE0F> Tristinha Cruzeiro LIBERTADORES CONMEBOLLibertadores Conmebol Reconq…;16/03/2019 11:18;pt;96
"Boom diaaa Sexxxtouuu <U+0001F31E><U+0001F98A>

Ahhh ser Cruzeiro é bom demais<U+0001F499>





NasBatalhasComOCruzeiro ReconquistarSantiago C…";16/03/2019 11:18;pt;97
"Hoje
Paulista 
SaoPaulo x Palmeiras 

Carioca
Flamengo x VoltaRedonda 

Mineiro
Tupi x Cruzeiro 

sabadodetremurasdv followTrick";16/03/2019 11:18;pt;98
<U+26BD><U+FE0F> Cruzeiro Mano Menezes deu sua opinião sobre o possível WO;16/03/2019 11:16;pt;99
"Bommmmm dia 
Começando o dia com muita disposição e vontade 
Lembrando que hoje tem o Cabuloso e acredito no plac…";16/03/2019 10:58;pt;100
Hoje h tem mais um AquiComBenja daqueles que vai dar o que falar ThiagoNeves do Cruzeiro falando tudo e um…;16/03/2019 10:39;pt;101
"Portuzeiros Reduto Celeste em Portugal já adquirimos
Adquira o seu e tornase um colaborador f…";16/03/2019 10:05;pt;102
"Hoje é diaaa de Cruzeiroooo <U+0001F499><U+0001F43A>
No peito tenhoestrelas que carrego com amor <U+0001F3B5><U+0001F499>
Cruzeiro…";16/03/2019 08:01;pt;103
Nosso futuro narrador dos jogos do…;16/03/2019 04:28;pt;104
"ATENÇÃO NAÇÃO AZUL

INFORMAÇÃO IMPORTANTE SOBRE OS INGRESSOS DO JOGO CRUZEIRO X DEPORTIVO LARA PELA LIBERTADORES

TODAS…";16/03/2019 04:05;pt;105
A caminho para o Campeonato Mineiro de Equipes de Futebol de Mesa ModalidadeToques olha quem encontramos…;16/03/2019 02:49;pt;106
Imaginem só como foi esse papo kkkk mais um que vai dar o que falar Sábado h notem ThiagoNeves n…;16/03/2019 02:18;pt;107
Paixão Cruzeiro <U+0001F499>;16/03/2019 01:49;pt;108
Veja como foi a seguna rodada da;16/03/2019 01:22;pt;109
"MG tem inovado 
Cruzeiro fecha com Bco Renner em M por patrocíniode lucros por cta aberta
Pensa qnt o…";16/03/2019 01:13;pt;110
"Nós do Bloco Raposão de São João Del Rei já somos
Já abriu sua conta 
Além de várias vantagens…";16/03/2019 00:54;pt;111
Aguardando os ets no casa do cruzeiro;16/03/2019 00:38;pt;112
"NAÇÃO AZUL Já baixou o aplicativoCruzeiro 

Nós já abrimos a conta faça a sua também <U+0001F98A>…";16/03/2019 00:04;pt;113
"NAÇÃO AZUL Já baixou o aplicativoCruzeiro 

Nós já abrimos a conta faça a sua também <U+0001F98A> 

Ap…";16/03/2019 00:01;pt;114
<U+26BD><U+FE0F> Cruzeiro Técnico Mano Menezes confirma o time principal para o jogo contra o Tupi amanhã em Juiz de Fora Você acomp…;15/03/2019 23:46;pt;115
"DIA DO CONSUMIDORPreparemse
Várias promoções escolham a melhor experiência de viagem para vocês e me…";15/03/2019 22:52;pt;116
E ao fundo a boa e velha toquinha que foi o CT cruzeiro durante muitos anos até a chegada da Toca I…;15/03/2019 22:49;pt;117
"O Reduto Oficial doem Capitólio

RaposaSegueRaposa Cruzeiro";15/03/2019 22:17;pt;118
"o Reduto Oficial doem Capitólio

Cruzeiro RaposaSegueRaposaSDV";15/03/2019 22:13;pt;119
"É aquele famoso alguém me segura senão vou comprar a loja inteira
braziline inverno colecaobraziline…";15/03/2019 22:00;pt;120
"Cruzeiro <U+0001F535><U+26AA>
Cruzeiro";15/03/2019 21:50;pt;121
Hahahaha não largo meu Cruzeiro por nada Cruzeiro;15/03/2019 21:29;pt;122
AS MELHORES BATERIAS PARA OS MELHORES CARROS;15/03/2019 21:00;pt;123
Na direção de Santana a Avenida do Estado tem congestionamento na passagem pelo Parque Dom Pedro II e depois entr…;15/03/2019 20:56;pt;124
Luis Orejuela agradeceu ao Cruzeiro e a toda Nação Azul pela oportunidade de mostrar seu futebol O lateral direito do Cabul…;15/03/2019 20:50;pt;125
"Cruzeiro <U+0001F535><U+26AA> 
Cruzeiro";15/03/2019 19:25;pt;126
"NAÇÃO AZUL Já baixou o aplicativoCruzeiro 

Nós já abrimos a conta faça a sua também <U+0001F98A> 

Apple S…";15/03/2019 19:12;pt;127
Everaldo no Cruzeiro O que sabemos sobre a negociação pelo atacante do FluminensefutebolGloboesporte;15/03/2019 19:06;pt;128
Em amistoso preparatório ogoleou o o AméricaTO por x O lateral esquerdo Ryan realizou mais uma boa partid…;15/03/2019 19:03;pt;129
"RealMadrid não pretende renovar empréstimo de Lucas Silva com o Cruzeiro
Pessoas próximas ao jogador deanos acr…";15/03/2019 18:58;pt;130
Em amistoso preparatório ogoleou o o AméricaTO por x O lateral esquerdo Ryan realizou mais uma boa…;15/03/2019 18:58;pt;131
"RealMadrid não pretende renovar empréstimo de Lucas Silva com o Cruzeiro
Pessoas próximas ao jogador deanos…";15/03/2019 18:57;pt;132
<U+26BD><U+FE0F> Cruzeiro Para jogar amanhã em Juiz de Fora será escalado asssim Fábio Edílson Dedé Léo e Egídio Henrique e Luca…;15/03/2019 18:28;pt;133
